2019-09-16 15:15:21 status unpacked libhogweed4:amd64 3.4.1-1
2019-09-16 15:15:23 install libnettle6:amd64 <none> 3.4.1-1
2019-09-16 15:15:23 status half-installed libnettle6:amd64 3.4.1-1
2019-09-16 15:15:25 status unpacked libnettle6:amd64 3.4.1-1
2019-09-16 15:15:27 install libp11-kit0:amd64 <none> 0.23.15-2
2019-09-16 15:15:27 status half-installed libp11-kit0:amd64 0.23.15-2
2019-09-16 15:15:30 status unpacked libp11-kit0:amd64 0.23.15-2
2019-09-16 15:15:32 install libpam-modules:amd64 <none> 1.3.1-5
2019-09-16 15:15:32 status half-installed libpam-modules:amd64 1.3.1-5
2019-09-16 15:15:41 status unpacked libpam-modules:amd64 1.3.1-5
2019-09-16 15:15:42 install libpam-modules-bin:amd64 <none> 1.3.1-5
2019-09-16 15:15:42 status half-installed libpam-modules-bin:amd64 1.3.1-5
2019-09-16 15:15:44 status unpacked libpam-modules-bin:amd64 1.3.1-5
2019-09-16 15:15:46 install libpam-runtime:all <none> 1.3.1-5
2019-09-16 15:15:46 status half-installed libpam-runtime:all 1.3.1-5
2019-09-16 15:15:56 status unpacked libpam-runtime:all 1.3.1-5
2019-09-16 15:15:57 install libpam0g:amd64 <none> 1.3.1-5
2019-09-16 15:15:57 status half-installed libpam0g:amd64 1.3.1-5
2019-09-16 15:16:00 status unpacked libpam0g:amd64 1.3.1-5
2019-09-16 15:16:02 install libpcre3:amd64 <none> 2:8.39-12
2019-09-16 15:16:02 status half-installed libpcre3:amd64 2:8.39-12
2019-09-16 15:16:04 status unpacked libpcre3:amd64 2:8.39-12
2019-09-16 15:16:06 upgrade perl-base:amd64 5.28.1-6 5.28.1-6
2019-09-16 15:16:06 status half-configured perl-base:amd64 5.28.1-6
2019-09-16 15:16:06 status unpacked perl-base:amd64 5.28.1-6
2019-09-16 15:16:07 status half-installed perl-base:amd64 5.28.1-6
2019-09-16 15:16:43 status unpacked perl-base:amd64 5.28.1-6
2019-09-16 15:16:45 install sed:amd64 <none> 4.7-1
2019-09-16 15:16:45 status half-installed sed:amd64 4.7-1
2019-09-16 15:16:50 status unpacked sed:amd64 4.7-1
2019-09-16 15:16:51 install login:amd64 <none> 1:4.5-1.1
2019-09-16 15:16:51 status half-installed login:amd64 1:4.5-1.1
2019-09-16 15:17:02 status unpacked login:amd64 1:4.5-1.1
2019-09-16 15:17:03 install passwd:amd64 <none> 1:4.5-1.1
2019-09-16 15:17:03 status half-installed passwd:amd64 1:4.5-1.1
2019-09-16 15:17:24 status unpacked passwd:amd64 1:4.5-1.1
2019-09-16 15:17:24 install libsystemd0:amd64 <none> 241-7~deb10u1
2019-09-16 15:17:24 status half-installed libsystemd0:amd64 241-7~deb10u1
2019-09-16 15:17:26 status unpacked libsystemd0:amd64 241-7~deb10u1
2019-09-16 15:17:27 install libudev1:amd64 <none> 241-7~deb10u1
2019-09-16 15:17:27 status half-installed libudev1:amd64 241-7~deb10u1
2019-09-16 15:17:28 status unpacked libudev1:amd64 241-7~deb10u1
2019-09-16 15:17:28 install sysvinit-utils:amd64 <none> 2.93-8
2019-09-16 15:17:28 status half-installed sysvinit-utils:amd64 2.93-8
2019-09-16 15:17:30 status unpacked sysvinit-utils:amd64 2.93-8
2019-09-16 15:17:31 install tar:amd64 <none> 1.30+dfsg-6
2019-09-16 15:17:31 status half-installed tar:amd64 1.30+dfsg-6
2019-09-16 15:17:35 status unpacked tar:amd64 1.30+dfsg-6
2019-09-16 15:17:36 install tzdata:all <none> 2019b-0+deb10u1
2019-09-16 15:17:36 status half-installed tzdata:all 2019b-0+deb10u1
2019-09-16 15:18:05 status unpacked tzdata:all 2019b-0+deb10u1
2019-09-16 15:18:07 install bsdutils:amd64 <none> 1:2.33.1-0.1
2019-09-16 15:18:07 status half-installed bsdutils:amd64 1:2.33.1-0.1
2019-09-16 15:18:10 status unpacked bsdutils:amd64 1:2.33.1-0.1
2019-09-16 15:18:11 install fdisk:amd64 <none> 2.33.1-0.1
2019-09-16 15:18:11 status half-installed fdisk:amd64 2.33.1-0.1
2019-09-16 15:18:14 status unpacked fdisk:amd64 2.33.1-0.1
2019-09-16 15:18:16 install libblkid1:amd64 <none> 2.33.1-0.1
2019-09-16 15:18:16 status half-installed libblkid1:amd64 2.33.1-0.1
2019-09-16 15:18:18 status unpacked libblkid1:amd64 2.33.1-0.1
2019-09-16 15:18:20 install libfdisk1:amd64 <none> 2.33.1-0.1
2019-09-16 15:18:20 status half-installed libfdisk1:amd64 2.33.1-0.1
2019-09-16 15:18:22 status unpacked libfdisk1:amd64 2.33.1-0.1
2019-09-16 15:18:25 install libmount1:amd64 <none> 2.33.1-0.1
2019-09-16 15:18:25 status half-installed libmount1:amd64 2.33.1-0.1
2019-09-16 15:18:28 status unpacked libmount1:amd64 2.33.1-0.1
2019-09-16 15:18:30 install libsmartcols1:amd64 <none> 2.33.1-0.1
2019-09-16 15:18:30 status half-installed libsmartcols1:amd64 2.33.1-0.1
2019-09-16 15:18:33 status unpacked libsmartcols1:amd64 2.33.1-0.1
2019-09-16 15:18:35 install libuuid1:amd64 <none> 2.33.1-0.1
2019-09-16 15:18:35 status half-installed libuuid1:amd64 2.33.1-0.1
2019-09-16 15:18:37 status unpacked libuuid1:amd64 2.33.1-0.1
2019-09-16 15:18:38 install mount:amd64 <none> 2.33.1-0.1
2019-09-16 15:18:38 status half-installed mount:amd64 2.33.1-0.1
2019-09-16 15:18:42 status unpacked mount:amd64 2.33.1-0.1
2019-09-16 15:18:44 install util-linux:amd64 <none> 2.33.1-0.1
2019-09-16 15:18:44 status half-installed util-linux:amd64 2.33.1-0.1
2019-09-16 15:19:03 status unpacked util-linux:amd64 2.33.1-0.1
2019-09-16 15:19:04 install liblzma5:amd64 <none> 5.2.4-1
2019-09-16 15:19:04 status half-installed liblzma5:amd64 5.2.4-1
2019-09-16 15:19:05 status unpacked liblzma5:amd64 5.2.4-1
2019-09-16 15:19:06 install zlib1g:amd64 <none> 1:1.2.11.dfsg-1
2019-09-16 15:19:06 status half-installed zlib1g:amd64 1:1.2.11.dfsg-1
2019-09-16 15:19:07 status unpacked zlib1g:amd64 1:1.2.11.dfsg-1
2019-09-16 15:19:08 startup packages configure
2019-09-16 15:19:08 configure debian-archive-keyring:all 2019.1 <none>
2019-09-16 15:19:08 status unpacked debian-archive-keyring:all 2019.1
2019-09-16 15:19:11 status half-configured debian-archive-keyring:all 2019.1
2019-09-16 15:19:11 status installed debian-archive-keyring:all 2019.1
2019-09-16 15:19:11 configure libaudit-common:all 1:2.8.4-3 <none>
2019-09-16 15:19:11 status unpacked libaudit-common:all 1:2.8.4-3
2019-09-16 15:19:12 status half-configured libaudit-common:all 1:2.8.4-3
2019-09-16 15:19:12 status installed libaudit-common:all 1:2.8.4-3
2019-09-16 15:19:12 configure libsemanage-common:all 2.8-2 <none>
2019-09-16 15:19:12 status unpacked libsemanage-common:all 2.8-2
2019-09-16 15:19:13 status half-configured libsemanage-common:all 2.8-2
2019-09-16 15:19:13 status installed libsemanage-common:all 2.8-2
2019-09-16 15:19:13 configure ncurses-base:all 6.1+20181013-2+deb10u1 <none>
2019-09-16 15:19:13 status unpacked ncurses-base:all 6.1+20181013-2+deb10u1
2019-09-16 15:19:14 status half-configured ncurses-base:all 6.1+20181013-2+deb10u1
2019-09-16 15:19:14 status installed ncurses-base:all 6.1+20181013-2+deb10u1
2019-09-16 15:19:15 configure gcc-8-base:amd64 8.3.0-6 <none>
2019-09-16 15:19:15 status unpacked gcc-8-base:amd64 8.3.0-6
2019-09-16 15:19:15 status half-configured gcc-8-base:amd64 8.3.0-6
2019-09-16 15:19:15 status installed gcc-8-base:amd64 8.3.0-6
2019-09-16 15:19:15 configure libc6:amd64 2.28-10 <none>
2019-09-16 15:19:15 status unpacked libc6:amd64 2.28-10
2019-09-16 15:19:16 status half-configured libc6:amd64 2.28-10
2019-09-16 15:19:17 status installed libc6:amd64 2.28-10
2019-09-16 15:19:17 configure libudev1:amd64 241-7~deb10u1 <none>
2019-09-16 15:19:17 status unpacked libudev1:amd64 241-7~deb10u1
2019-09-16 15:19:17 status half-configured libudev1:amd64 241-7~deb10u1
2019-09-16 15:19:18 status installed libudev1:amd64 241-7~deb10u1
2019-09-16 15:19:18 configure libsepol1:amd64 2.8-1 <none>
2019-09-16 15:19:18 status unpacked libsepol1:amd64 2.8-1
2019-09-16 15:19:18 status half-configured libsepol1:amd64 2.8-1
2019-09-16 15:19:19 status installed libsepol1:amd64 2.8-1
2019-09-16 15:19:19 configure libattr1:amd64 1:2.4.48-4 <none>
2019-09-16 15:19:19 status unpacked libattr1:amd64 1:2.4.48-4
2019-09-16 15:19:20 status half-configured libattr1:amd64 1:2.4.48-4
2019-09-16 15:19:20 status installed libattr1:amd64 1:2.4.48-4
2019-09-16 15:19:20 configure libtasn1-6:amd64 4.13-3 <none>
2019-09-16 15:19:20 status unpacked libtasn1-6:amd64 4.13-3
2019-09-16 15:19:21 status half-configured libtasn1-6:amd64 4.13-3
2019-09-16 15:19:21 status installed libtasn1-6:amd64 4.13-3
2019-09-16 15:19:21 configure debianutils:amd64 4.8.6.1 <none>
2019-09-16 15:19:21 status unpacked debianutils:amd64 4.8.6.1
2019-09-16 15:19:22 status half-configured debianutils:amd64 4.8.6.1
2019-09-16 15:19:22 status installed debianutils:amd64 4.8.6.1
2019-09-16 15:19:22 configure mawk:amd64 1.3.3-17+b3 <none>
2019-09-16 15:19:22 status unpacked mawk:amd64 1.3.3-17+b3
2019-09-16 15:19:23 status half-configured mawk:amd64 1.3.3-17+b3
2019-09-16 15:19:23 status installed mawk:amd64 1.3.3-17+b3
2019-09-16 15:19:23 configure libdebconfclient0:amd64 0.249 <none>
2019-09-16 15:19:23 status unpacked libdebconfclient0:amd64 0.249
2019-09-16 15:19:24 status half-configured libdebconfclient0:amd64 0.249
2019-09-16 15:19:24 status installed libdebconfclient0:amd64 0.249
2019-09-16 15:19:24 configure base-files:amd64 10.3+deb10u1 <none>
2019-09-16 15:19:24 status unpacked base-files:amd64 10.3+deb10u1
2019-09-16 15:19:26 status half-configured base-files:amd64 10.3+deb10u1
2019-09-16 15:19:26 status installed base-files:amd64 10.3+deb10u1
2019-09-16 15:19:27 configure libbz2-1.0:amd64 1.0.6-9.2~deb10u1 <none>
2019-09-16 15:19:27 status unpacked libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2019-09-16 15:19:27 status half-configured libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2019-09-16 15:19:27 status installed libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2019-09-16 15:19:28 configure base-passwd:amd64 3.5.46 <none>
2019-09-16 15:19:28 status unpacked base-passwd:amd64 3.5.46
2019-09-16 15:19:28 status half-configured base-passwd:amd64 3.5.46
2019-09-16 15:19:29 status installed base-passwd:amd64 3.5.46
2019-09-16 15:19:29 configure libdb5.3:amd64 5.3.28+dfsg1-0.5 <none>
2019-09-16 15:19:29 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.5
2019-09-16 15:19:30 status half-configured libdb5.3:amd64 5.3.28+dfsg1-0.5
