2019-04-07 18:42:45 install libsemanage1:i386 <none> 2.6-2
2019-04-07 18:42:45 status half-installed libsemanage1:i386 2.6-2
2019-04-07 18:42:45 status unpacked libsemanage1:i386 2.6-2
2019-04-07 18:42:46 status unpacked libsemanage1:i386 2.6-2
2019-04-07 18:42:46 install libsepol1:i386 <none> 2.6-2
2019-04-07 18:42:46 status half-installed libsepol1:i386 2.6-2
2019-04-07 18:42:47 status unpacked libsepol1:i386 2.6-2
2019-04-07 18:42:47 status unpacked libsepol1:i386 2.6-2
2019-04-07 18:42:47 install lsb-base:all <none> 9.20161125
2019-04-07 18:42:47 status half-installed lsb-base:all 9.20161125
2019-04-07 18:42:48 status unpacked lsb-base:all 9.20161125
2019-04-07 18:42:48 status unpacked lsb-base:all 9.20161125
2019-04-07 18:42:48 install liblz4-1:i386 <none> 0.0~r131-2+b1
2019-04-07 18:42:48 status half-installed liblz4-1:i386 0.0~r131-2+b1
2019-04-07 18:42:49 status unpacked liblz4-1:i386 0.0~r131-2+b1
2019-04-07 18:42:49 status unpacked liblz4-1:i386 0.0~r131-2+b1
2019-04-07 18:42:49 upgrade mawk:i386 1.3.3-17+b3 1.3.3-17+b3
2019-04-07 18:42:49 status half-configured mawk:i386 1.3.3-17+b3
2019-04-07 18:42:49 status unpacked mawk:i386 1.3.3-17+b3
2019-04-07 18:42:50 status half-installed mawk:i386 1.3.3-17+b3
2019-04-07 18:42:50 status half-installed mawk:i386 1.3.3-17+b3
2019-04-07 18:42:51 status unpacked mawk:i386 1.3.3-17+b3
2019-04-07 18:42:51 status unpacked mawk:i386 1.3.3-17+b3
2019-04-07 18:42:51 install libncursesw5:i386 <none> 6.0+20161126-1+deb9u2
2019-04-07 18:42:51 status half-installed libncursesw5:i386 6.0+20161126-1+deb9u2
2019-04-07 18:42:52 status unpacked libncursesw5:i386 6.0+20161126-1+deb9u2
2019-04-07 18:42:52 status unpacked libncursesw5:i386 6.0+20161126-1+deb9u2
2019-04-07 18:42:53 install libtinfo5:i386 <none> 6.0+20161126-1+deb9u2
2019-04-07 18:42:53 status half-installed libtinfo5:i386 6.0+20161126-1+deb9u2
2019-04-07 18:42:54 status unpacked libtinfo5:i386 6.0+20161126-1+deb9u2
2019-04-07 18:42:54 status unpacked libtinfo5:i386 6.0+20161126-1+deb9u2
2019-04-07 18:42:54 install ncurses-base:all <none> 6.0+20161126-1+deb9u2
2019-04-07 18:42:54 status half-installed ncurses-base:all 6.0+20161126-1+deb9u2
2019-04-07 18:42:57 status unpacked ncurses-base:all 6.0+20161126-1+deb9u2
2019-04-07 18:42:57 status unpacked ncurses-base:all 6.0+20161126-1+deb9u2
2019-04-07 18:42:57 install ncurses-bin:i386 <none> 6.0+20161126-1+deb9u2
2019-04-07 18:42:57 status half-installed ncurses-bin:i386 6.0+20161126-1+deb9u2
2019-04-07 18:42:59 status unpacked ncurses-bin:i386 6.0+20161126-1+deb9u2
2019-04-07 18:43:00 status unpacked ncurses-bin:i386 6.0+20161126-1+deb9u2
2019-04-07 18:43:01 install libpam-modules:i386 <none> 1.1.8-3.6
2019-04-07 18:43:01 status half-installed libpam-modules:i386 1.1.8-3.6
2019-04-07 18:43:08 status unpacked libpam-modules:i386 1.1.8-3.6
2019-04-07 18:43:08 status unpacked libpam-modules:i386 1.1.8-3.6
2019-04-07 18:43:09 install libpam-modules-bin:i386 <none> 1.1.8-3.6
2019-04-07 18:43:09 status half-installed libpam-modules-bin:i386 1.1.8-3.6
2019-04-07 18:43:10 status unpacked libpam-modules-bin:i386 1.1.8-3.6
2019-04-07 18:43:10 status unpacked libpam-modules-bin:i386 1.1.8-3.6
2019-04-07 18:43:11 install libpam-runtime:all <none> 1.1.8-3.6
2019-04-07 18:43:11 status half-installed libpam-runtime:all 1.1.8-3.6
2019-04-07 18:43:17 status unpacked libpam-runtime:all 1.1.8-3.6
2019-04-07 18:43:17 status unpacked libpam-runtime:all 1.1.8-3.6
2019-04-07 18:43:18 install libpam0g:i386 <none> 1.1.8-3.6
2019-04-07 18:43:18 status half-installed libpam0g:i386 1.1.8-3.6
2019-04-07 18:43:20 status unpacked libpam0g:i386 1.1.8-3.6
2019-04-07 18:43:20 status unpacked libpam0g:i386 1.1.8-3.6
2019-04-07 18:43:21 install libpcre3:i386 <none> 2:8.39-3
2019-04-07 18:43:21 status half-installed libpcre3:i386 2:8.39-3
2019-04-07 18:43:22 status unpacked libpcre3:i386 2:8.39-3
2019-04-07 18:43:23 status unpacked libpcre3:i386 2:8.39-3
2019-04-07 18:43:23 upgrade perl-base:i386 5.24.1-3+deb9u5 5.24.1-3+deb9u5
2019-04-07 18:43:23 status half-configured perl-base:i386 5.24.1-3+deb9u5
2019-04-07 18:43:23 status unpacked perl-base:i386 5.24.1-3+deb9u5
2019-04-07 18:43:24 status half-installed perl-base:i386 5.24.1-3+deb9u5
2019-04-07 18:43:52 status half-installed perl-base:i386 5.24.1-3+deb9u5
2019-04-07 18:43:53 status unpacked perl-base:i386 5.24.1-3+deb9u5
2019-04-07 18:43:53 status unpacked perl-base:i386 5.24.1-3+deb9u5
2019-04-07 18:43:53 install sed:i386 <none> 4.4-1
2019-04-07 18:43:53 status half-installed sed:i386 4.4-1
2019-04-07 18:43:58 status unpacked sed:i386 4.4-1
2019-04-07 18:43:58 status unpacked sed:i386 4.4-1
2019-04-07 18:43:59 install sensible-utils:all <none> 0.0.9+deb9u1
2019-04-07 18:43:59 status half-installed sensible-utils:all 0.0.9+deb9u1
2019-04-07 18:44:01 status unpacked sensible-utils:all 0.0.9+deb9u1
2019-04-07 18:44:01 status unpacked sensible-utils:all 0.0.9+deb9u1
2019-04-07 18:44:02 install login:i386 <none> 1:4.4-4.1
